elapsed_s,state,motion,breath_score,peak_hz,note
0031.7,NO_DATA,2.824,0.000,0.000,
0041.7,NO_DATA,3.877,0.000,0.000,
0051.7,ACTIVE,1.962,2.949,0.450,
0061.8,ACTIVE,1.903,3.149,0.300,
0071.8,ACTIVE,2.461,2.010,0.300,
0081.9,NO_RESPONSE,0.952,1.949,0.350,
0091.9,SLEEP_NORMAL,0.854,1.877,0.300,
0101.9,ACTIVE,5.085,1.986,0.500,
0112.0,ACTIVE,2.210,2.312,0.500,
0122.0,ACTIVE,2.434,2.155,0.450,
0131.0,ACTIVE,1.749,2.177,0.300,
0141.1,NO_RESPONSE,0.906,2.860,0.200,
0151.1,SLEEP_NORMAL,0.553,2.576,0.250,
0161.2,ACTIVE,1.280,2.398,0.250,
0171.2,NO_RESPONSE,0.893,4.195,0.250,
0181.2,SLEEP_NORMAL,0.994,3.496,0.300,
0191.3,NO_RESPONSE,1.041,3.056,0.300,
0201.3,NO_RESPONSE,1.124,2.037,0.500,
0211.4,NO_RESPONSE,0.926,2.458,0.250,
0221.4,ACTIVE,1.846,2.608,0.500,
0231.5,ACTIVE,3.056,2.225,0.450,
0241.5,ACTIVE,2.557,2.123,0.200,
0251.5,ACTIVE,1.790,2.509,0.400,
0261.6,NO_RESPONSE,0.908,1.504,0.250,
0271.8,NO_RESPONSE,0.982,2.778,0.400,
0281.8,ACTIVE,3.969,2.781,0.400,
0291.8,NO_RESPONSE,0.906,3.709,0.400,
0301.9,NO_RESPONSE,1.314,2.632,0.200,
0311.9,NO_RESPONSE,1.212,2.011,0.200,
0322.0,ACTIVE,3.669,2.968,0.250,
0332.0,NO_RESPONSE,1.159,1.854,0.500,
0342.0,NO_RESPONSE,0.792,2.905,0.500,
0352.1,ACTIVE,4.232,2.121,0.250,
0362.1,ACTIVE,1.916,2.432,0.300,
0372.1,ACTIVE,2.179,1.513,0.450,
0382.2,ACTIVE,3.355,1.527,0.250,
0391.2,ACTIVE,1.589,1.527,0.400,
0401.3,ACTIVE,1.818,1.544,0.250,
0411.3,ACTIVE,20.966,2.376,0.300,USB 연결 끊김 아티팩트 - 분석 제외
