elapsed_s,label,state,motion,breath_score,peak_hz,ac_hz,ac_strength,streak,data_streak
00101.1,departure,ACTIVE,5.029,2.580,0.450,0.222,0.383,0,0
00111.1,departure,ACTIVE,11.992,3.193,0.450,0.222,0.320,0,0
00121.2,departure,ACTIVE,10.917,1.404,0.350,0.244,0.064,0,0
00161.3,departure,ACTIVE,2.925,2.481,0.500,0.286,0.209,0,0
00171.3,departure,ACTIVE,3.496,2.076,0.350,0.323,0.149,0,0
00181.4,departure,ACTIVE,3.414,2.115,0.350,0.333,0.191,0,0
00221.5,departure,ACTIVE,3.106,3.322,0.250,0.204,0.146,0,0
00231.6,departure,NO_RESPONSE,1.007,2.288,0.250,0.323,0.272,1,0
00241.6,departure,ACTIVE,7.208,1.980,0.350,0.345,0.144,0,0
00281.8,vigorous_indoor,NO_RESPONSE,1.537,3.318,0.300,0.323,0.236,1,0
00291.8,vigorous_indoor,SLEEP_NORMAL,0.829,2.167,0.250,0.250,0.181,0,0
00301.8,vigorous_indoor,NO_RESPONSE,0.821,1.818,0.250,0.250,0.331,1,0
00311.9,still_indoor,ACTIVE,1.415,2.432,0.300,0.385,0.206,0,0
00321.9,still_indoor,ACTIVE,1.656,2.008,0.400,0.333,0.145,0,0
00331.9,still_indoor,ACTIVE,1.111,1.919,0.350,0.323,0.271,0,0
00342.0,vigorous_indoor,ACTIVE,1.746,2.696,0.350,0.303,0.068,0,0
00351.1,vigorous_indoor,NO_RESPONSE,0.467,2.101,0.250,0.200,0.077,1,0
00361.1,vigorous_indoor,ACTIVE,2.078,2.363,0.400,0.357,0.030,0,0
00371.2,still_indoor,ACTIVE,2.296,3.033,0.300,0.286,0.225,0,0
00381.2,still_indoor,ACTIVE,1.745,3.482,0.250,0.286,0.252,0,0
00391.3,still_indoor,ACTIVE,2.625,2.159,0.250,0.244,0.241,0,0
00401.4,vigorous_indoor,NO_RESPONSE,0.424,2.507,0.300,0.400,0.214,1,0
00411.5,vigorous_indoor,NO_RESPONSE,0.465,2.916,0.500,0.256,0.179,2,0
00421.5,vigorous_indoor,ACTIVE,1.027,2.402,0.250,0.222,0.285,0,0
